FIPS,FIPSTEXT,y12_M085_valuetext,y12_M085_classRange,Acres of Total Cropland as Percent of Land Area in Acres: 2012_valueNumeric,y12_M270_valueText,y12_M270_classRange,Acres of Cropland and Pastureland Treated with Animal Manure as Percent of Total Cropland Acreage_valueNumeric
26139,26139,38.3,30 - 49,38.3,21.2,15 - 29,21.2
26141,26141,10.78,14-May,10.78,7.63,14-May,7.63
26143,26143,0.81,Less than 5,0.81,10.36,14-May,10.36
26145,26145,53.57,50 - 74,53.57,2.85,Less than 5,2.85
26147,26147,32.85,30 - 49,32.85,3.14,Less than 5,3.14
26149,26149,58.75,50 - 74,58.75,9.92,14-May,9.92
26151,26151,65.82,50 - 74,65.82,11.14,14-May,11.14
26153,26153,0.71,Less than 5,0.71,4.69,Less than 5,4.69
26155,26155,57.47,50 - 74,57.47,4.35,Less than 5,4.35
26157,26157,55.34,50 - 74,55.34,7.14,14-May,7.14
26159,26159,32.16,30 - 49,32.16,4.18,Less than 5,4.18
26161,26161,29.54,15 - 29,29.54,6.44,14-May,6.44
26163,26163,2.77,Less than 5,2.77,3.27,Less than 5,3.27
26165,26165,6.57,14-May,6.57,7.65,14-May,7.65
27001,27001,5.3,14-May,5.3,9.88,14-May,9.88
27003,27003,12.17,14-May,12.17,2.27,Less than 5,2.27
27005,27005,36.82,30 - 49,36.82,5.4,14-May,5.4
27007,27007,5.5,14-May,5.5,5.02,14-May,5.02
27009,27009,53.55,50 - 74,53.55,18.03,15 - 29,18.03
27011,27011,67.55,50 - 74,67.55,1.99,Less than 5,1.99
27013,27013,70.79,50 - 74,70.79,9.27,14-May,9.27
27015,27015,75.78,75 or more,75.78,10.22,14-May,10.22
27017,27017,7.7,14-May,7.7,10.57,14-May,10.57
27019,27019,58.01,50 - 74,58.01,12.66,14-May,12.66
27021,27021,4.74,Less than 5,4.74,6.16,14-May,6.16
27023,27023,83.52,75 or more,83.52,6.83,14-May,6.83
27025,27025,28.68,15 - 29,28.68,5.34,14-May,5.34
27027,27027,82.99,75 or more,82.99,2.03,Less than 5,2.03
27029,27029,11.92,14-May,11.92,6.78,14-May,6.78
27031,27031,0.02,Less than 5,0.02,1.62,Less than 5,1.62
27033,27033,82.15,75 or more,82.15,7.68,14-May,7.68
27035,27035,7.01,14-May,7.01,11.47,14-May,11.47
27037,27037,53.53,50 - 74,53.53,6.42,14-May,6.42
27039,27039,72.04,50 - 74,72.04,9.12,14-May,9.12
27041,27041,48.5,30 - 49,48.5,7.93,14-May,7.93
27043,27043,81.18,75 or more,81.18,7.09,14-May,7.09
27045,27045,57.48,50 - 74,57.48,10.11,14-May,10.11
27047,27047,78.81,75 or more,78.81,5.96,14-May,5.96
27049,27049,68.13,50 - 74,68.13,9.83,14-May,9.83
27051,27051,79.76,75 or more,79.76,0.73,Less than 5,0.73
27053,27053,15.32,15 - 29,15.32,6.69,14-May,6.69
27055,27055,36.61,30 - 49,36.61,16.72,15 - 29,16.72
27057,27057,11.64,14-May,11.64,13.54,14-May,13.54
27059,27059,35.47,30 - 49,35.47,4.96,Less than 5,4.96
27061,27061,2.35,Less than 5,2.35,3.51,Less than 5,3.51
27063,27063,73.34,50 - 74,73.34,6.22,14-May,6.22
27065,27065,19.73,15 - 29,19.73,5.78,14-May,5.78
27067,27067,69.39,50 - 74,69.39,13.13,14-May,13.13
27069,27069,55.61,50 - 74,55.61,0.43,Less than 5,0.43
27071,27071,1.24,Less than 5,1.24,5.69,14-May,5.69
27073,27073,83.3,75 or more,83.3,2.44,Less than 5,2.44
27075,27075,0.11,Less than 5,0.11,1.92,Less than 5,1.92
27077,27077,6.77,14-May,6.77,0.98,Less than 5,0.98
27079,27079,72.23,50 - 74,72.23,7.11,14-May,7.11
27081,27081,74.71,50 - 74,74.71,5.84,14-May,5.84
27083,27083,83.02,75 or more,83.02,8.75,14-May,8.75
27085,27085,75.33,75 or more,75.33,8.39,14-May,8.39
27087,27087,49.98,30 - 49,49.98,1.38,Less than 5,1.38
27089,27089,65.17,50 - 74,65.17,0.41,Less than 5,0.41
27091,27091,88.96,75 or more,88.96,12.84,14-May,12.84
27093,27093,66.78,50 - 74,66.78,8.65,14-May,8.65
27095,27095,21.55,15 - 29,21.55,12.89,14-May,12.89
27097,27097,35.57,30 - 49,35.57,26.43,15 - 29,26.43
27099,27099,92.9,75 or more,92.9,7.73,14-May,7.73
27101,27101,83.13,75 or more,83.13,6.25,14-May,6.25
27103,27103,87.09,75 or more,87.09,13.93,14-May,13.93
27105,27105,76.69,75 or more,76.69,10.56,14-May,10.56
27107,27107,88.16,75 or more,88.16,0.7,Less than 5,0.7
27109,27109,50.05,50 - 74,50.05,9.19,14-May,9.19
27111,27111,49.39,30 - 49,49.39,6.41,14-May,6.41
27113,27113,57.15,50 - 74,57.15,1.12,Less than 5,1.12
27115,27115,11.49,14-May,11.49,10.96,14-May,10.96
27117,27117,69.21,50 - 74,69.21,10.89,14-May,10.89
27119,27119,78.59,75 or more,78.59,0.8,Less than 5,0.8
27121,27121,62.4,50 - 74,62.4,6.33,14-May,6.33
27123,27123,0.41,Less than 5,0.41,3.26,Less than 5,3.26
27125,27125,60.61,50 - 74,60.61,1.69,Less than 5,1.69
27127,27127,87.08,75 or more,87.08,5.53,14-May,5.53
27129,27129,93.65,75 or more,93.65,5.24,14-May,5.24
27131,27131,62.2,50 - 74,62.2,9.24,14-May,9.24
27133,27133,81.83,75 or more,81.83,12.26,14-May,12.26
27135,27135,41.63,30 - 49,41.63,1.63,Less than 5,1.63
27137,27137,1.51,Less than 5,1.51,6.54,14-May,6.54
27139,27139,48.93,30 - 49,48.93,10.39,14-May,10.39
27141,27141,32,30 - 49,32,10.09,14-May,10.09
27143,27143,84.56,75 or more,84.56,7.29,14-May,7.29
27145,27145,67.81,50 - 74,67.81,25.08,15 - 29,25.08
27147,27147,79.25,75 or more,79.25,8.68,14-May,8.68
27149,27149,82.42,75 or more,82.42,9.07,14-May,9.07
27151,27151,68.77,50 - 74,68.77,5.62,14-May,5.62
27153,27153,41.01,30 - 49,41.01,14.5,14-May,14.5
27155,27155,91.2,75 or more,91.2,2.02,Less than 5,2.02
27157,27157,53.12,50 - 74,53.12,17.97,15 - 29,17.97
27159,27159,24.33,15 - 29,24.33,9.18,14-May,9.18
27161,27161,78.83,75 or more,78.83,9.9,14-May,9.9
27163,27163,23.78,15 - 29,23.78,7.79,14-May,7.79
27165,27165,80.2,75 or more,80.2,7.62,14-May,7.62
27167,27167,89.21,75 or more,89.21,0.81,Less than 5,0.81
27169,27169,44.92,30 - 49,44.92,22.51,15 - 29,22.51
27171,27171,54.76,50 - 74,54.76,9.02,14-May,9.02
27173,27173,75.02,75 or more,75.02,5.3,14-May,5.3
28001,28001,6.86,14-May,6.86,1.74,Less than 5,1.74
28003,28003,16.9,15 - 29,16.9,4.42,Less than 5,4.42
28005,28005,4.92,Less than 5,4.92,34.12,30 - 59,34.12
28007,28007,6.18,14-May,6.18,12.42,14-May,12.42
28009,28009,11.21,14-May,11.21,12.36,14-May,12.36
28011,28011,64.53,50 - 74,64.53,0,Less than 5,0
28013,28013,21.33,15 - 29,21.33,0.71,Less than 5,0.71
28015,28015,14.37,14-May,14.37,10.81,14-May,10.81
28017,28017,20.94,15 - 29,20.94,14.48,14-May,14.48
28019,28019,3.37,Less than 5,3.37,8.27,14-May,8.27
28021,28021,7.05,14-May,7.05,16.7,15 - 29,16.7
28023,28023,3.13,Less than 5,3.13,29.47,15 - 29,29.47
28025,28025,11.75,14-May,11.75,10.75,14-May,10.75
28027,28027,64.15,50 - 74,64.15,0.14,Less than 5,0.14
28029,28029,3.7,Less than 5,3.7,20.36,15 - 29,20.36
28031,28031,9.28,14-May,9.28,66.22,60 or more,66.22
28033,28033,26.63,15 - 29,26.63,1.12,Less than 5,1.12
28035,28035,3.3,Less than 5,3.3,31.31,30 - 59,31.31
28037,28037,2.43,Less than 5,2.43,18.2,15 - 29,18.2
28039,28039,6.3,14-May,6.3,35.07,30 - 59,35.07
28041,28041,3.56,Less than 5,3.56,11.66,14-May,11.66
28043,28043,9.56,14-May,9.56,11.9,14-May,11.9
28045,28045,1.57,Less than 5,1.57,(D),14-May,
28047,28047,1.54,Less than 5,1.54,12.21,14-May,12.21
28049,28049,11.11,14-May,11.11,14.47,14-May,14.47
28051,28051,24.73,15 - 29,24.73,8.81,14-May,8.81
28053,28053,60.25,50 - 74,60.25,1.03,Less than 5,1.03
28055,28055,28.46,15 - 29,28.46,(D),Less than 5,
28057,28057,8.87,14-May,8.87,23.49,15 - 29,23.49
28059,28059,3.09,Less than 5,3.09,4.45,Less than 5,4.45
28061,28061,3.26,Less than 5,3.26,48.42,30 - 59,48.42
28063,28063,8.99,14-May,8.99,7.01,14-May,7.01
28065,28065,4.07,Less than 5,4.07,43.62,30 - 59,43.62
28067,28067,5.72,14-May,5.72,50.91,30 - 59,50.91
28069,28069,3.67,Less than 5,3.67,10.97,14-May,10.97
28071,28071,6.64,14-May,6.64,1.65,Less than 5,1.65
28073,28073,4.14,Less than 5,4.14,12.4,14-May,12.4
28075,28075,3.24,Less than 5,3.24,8.77,14-May,8.77
28077,28077,6.59,14-May,6.59,29.81,15 - 29,29.81
28079,28079,6.05,14-May,6.05,37.95,30 - 59,37.95
28081,28081,29.41,15 - 29,29.41,5.97,14-May,5.97
28083,28083,62.09,50 - 74,62.09,3,Less than 5,3
28085,28085,5.36,14-May,5.36,35.84,30 - 59,35.84
28087,28087,17.7,15 - 29,17.7,7.25,14-May,7.25
28089,28089,15.01,15 - 29,15.01,8.51,14-May,8.51
28091,28091,5.24,14-May,5.24,29.11,15 - 29,29.11
28093,28093,15.5,15 - 29,15.5,2.53,Less than 5,2.53
28095,28095,20.34,15 - 29,20.34,4.06,Less than 5,4.06
28097,28097,10.28,14-May,10.28,2.14,Less than 5,2.14
28099,28099,5.64,14-May,5.64,57.21,30 - 59,57.21
28101,28101,6.12,14-May,6.12,48.42,30 - 59,48.42
28103,28103,23.8,15 - 29,23.8,29.51,15 - 29,29.51
28105,28105,7.38,14-May,7.38,3.32,Less than 5,3.32
28107,28107,30.74,30 - 49,30.74,1.23,Less than 5,1.23
28109,28109,4.44,Less than 5,4.44,6.86,14-May,6.86
28111,28111,2.92,Less than 5,2.92,34.31,30 - 59,34.31
28113,28113,5.56,14-May,5.56,20.92,15 - 29,20.92
28115,28115,20.17,15 - 29,20.17,2.21,Less than 5,2.21
28117,28117,14.47,14-May,14.47,6.29,14-May,6.29
28119,28119,60.11,50 - 74,60.11,1.65,Less than 5,1.65
28121,28121,5.75,14-May,5.75,25.02,15 - 29,25.02
28123,28123,7.14,14-May,7.14,39.01,30 - 59,39.01
28125,28125,48.94,30 - 49,48.94,(D),Less than 5,
28127,28127,7.47,14-May,7.47,29.38,15 - 29,29.38
28129,28129,6.43,14-May,6.43,49.74,30 - 59,49.74
28131,28131,2.64,Less than 5,2.64,24.02,15 - 29,24.02
28133,28133,72.52,50 - 74,72.52,1.22,Less than 5,1.22
28135,28135,61.71,50 - 74,61.71,5.05,14-May,5.05
28137,28137,26.87,15 - 29,26.87,2.39,Less than 5,2.39
28139,28139,12.92,14-May,12.92,4.23,Less than 5,4.23
28141,28141,6.12,14-May,6.12,23.26,15 - 29,23.26
28143,28143,66.85,50 - 74,66.85,0,Less than 5,0
28145,28145,16.41,15 - 29,16.41,3.8,Less than 5,3.8
28147,28147,12.44,14-May,12.44,42,30 - 59,42
28149,28149,11.63,14-May,11.63,0.11,Less than 5,0.11
28151,28151,67.48,50 - 74,67.48,2.37,Less than 5,2.37
28153,28153,4.63,Less than 5,4.63,33.42,30 - 59,33.42
28155,28155,9.58,14-May,9.58,1.63,Less than 5,1.63
28157,28157,3.46,Less than 5,3.46,14.25,14-May,14.25
28159,28159,4.85,Less than 5,4.85,14.37,14-May,14.37
28161,28161,11.17,14-May,11.17,2.33,Less than 5,2.33
28163,28163,33.07,30 - 49,33.07,3.16,Less than 5,3.16
29001,29001,36.91,30 - 49,36.91,2.8,Less than 5,2.8
29003,29003,49.83,30 - 49,49.83,2.24,Less than 5,2.24
29005,29005,65.28,50 - 74,65.28,2.9,Less than 5,2.9
29007,29007,79.9,75 or more,79.9,3.01,Less than 5,3.01
29009,29009,14.78,14-May,14.78,32,30 - 59,32
29011,29011,59.12,50 - 74,59.12,7.8,14-May,7.8
29013,29013,51.96,50 - 74,51.96,4.16,Less than 5,4.16
29015,29015,19.35,15 - 29,19.35,10.98,14-May,10.98
29017,29017,20.06,15 - 29,20.06,2.09,Less than 5,2.09
29019,29019,32.9,30 - 49,32.9,2.27,Less than 5,2.27
29021,29021,52.12,50 - 74,52.12,1.04,Less than 5,1.04
29023,29023,41.88,30 - 49,41.88,0.58,Less than 5,0.58
29025,29025,56.07,50 - 74,56.07,0.99,Less than 5,0.99
29027,29027,30.12,30 - 49,30.12,4.69,Less than 5,4.69
29029,29029,5.81,14-May,5.81,5.33,14-May,5.33
29031,29031,42.49,30 - 49,42.49,3.75,Less than 5,3.75
29033,29033,72.17,50 - 74,72.17,0.95,Less than 5,0.95
29035,29035,2.95,Less than 5,2.95,(D),Less than 5,
29037,29037,45.4,30 - 49,45.4,2.11,Less than 5,2.11
29039,29039,20.83,15 - 29,20.83,10.17,14-May,10.17
29041,29041,58.79,50 - 74,58.79,1.24,Less than 5,1.24
29043,29043,14.81,14-May,14.81,10.03,14-May,10.03
29045,29045,46.71,30 - 49,46.71,1.67,Less than 5,1.67
29047,29047,22.51,15 - 29,22.51,2.52,Less than 5,2.52
29049,29049,47.31,30 - 49,47.31,0.72,Less than 5,0.72
29051,29051,26.95,15 - 29,26.95,8.84,14-May,8.84
29053,29053,52.66,50 - 74,52.66,8.39,14-May,8.39
29055,29055,10.01,14-May,10.01,2.47,Less than 5,2.47
29057,29057,36.16,30 - 49,36.16,16.54,15 - 29,16.54
29059,29059,17.37,15 - 29,17.37,20.4,15 - 29,20.4
29061,29061,58.39,50 - 74,58.39,1.33,Less than 5,1.33
29063,29063,62.42,50 - 74,62.42,2.27,Less than 5,2.27
29065,29065,6.66,14-May,6.66,6.85,14-May,6.85
29067,29067,8.69,14-May,8.69,6.79,14-May,6.79
29069,29069,76.88,75 or more,76.88,(D),Less than 5,
29071,29071,21.83,15 - 29,21.83,7.35,14-May,7.35
29073,29073,19.19,15 - 29,19.19,5,14-May,5
29075,29075,51.01,50 - 74,51.01,2.63,Less than 5,2.63
29077,29077,15.78,15 - 29,15.78,14.48,14-May,14.48
29079,29079,50.19,50 - 74,50.19,2.03,Less than 5,2.03
29081,29081,57.11,50 - 74,57.11,0.98,Less than 5,0.98
29083,29083,44.88,30 - 49,44.88,3.71,Less than 5,3.71
29085,29085,22.42,15 - 29,22.42,11.29,14-May,11.29
29087,29087,56.23,50 - 74,56.23,0.28,Less than 5,0.28
29089,29089,47.12,30 - 49,47.12,0.7,Less than 5,0.7
29091,29091,9.85,14-May,9.85,14.6,14-May,14.6
29093,29093,4.91,Less than 5,4.91,7.3,14-May,7.3
29095,29095,19.42,15 - 29,19.42,1.04,Less than 5,1.04
29097,29097,31.26,30 - 49,31.26,11.91,14-May,11.91
29099,29099,8.63,14-May,8.63,5.36,14-May,5.36
29101,29101,41.43,30 - 49,41.43,4.13,Less than 5,4.13
29103,29103,59.92,50 - 74,59.92,2.63,Less than 5,2.63
29105,29105,18.3,15 - 29,18.3,10.83,14-May,10.83
29107,29107,60.79,50 - 74,60.79,3.03,Less than 5,3.03
29109,29109,30.17,30 - 49,30.17,19.14,15 - 29,19.14
29111,29111,62.27,50 - 74,62.27,0.99,Less than 5,0.99
29113,29113,47.83,30 - 49,47.83,1.89,Less than 5,1.89
29115,29115,53.05,50 - 74,53.05,2.85,Less than 5,2.85
29117,29117,58.86,50 - 74,58.86,0.64,Less than 5,0.64
29119,29119,14.32,14-May,14.32,30.17,30 - 59,30.17
29121,29121,41.87,30 - 49,41.87,2.18,Less than 5,2.18
29123,29123,7.61,14-May,7.61,6.76,14-May,6.76
29125,29125,17.62,15 - 29,17.62,8.59,14-May,8.59
29127,29127,56.33,50 - 74,56.33,2.03,Less than 5,2.03
29129,29129,41.11,30 - 49,41.11,2.45,Less than 5,2.45
29131,29131,16.36,15 - 29,16.36,16.55,15 - 29,16.55
29133,29133,88.2,75 or more,88.2,(D),Less than 5,
29135,29135,37.6,30 - 49,37.6,13.09,14-May,13.09
29137,29137,57.4,50 - 74,57.4,1.84,Less than 5,1.84
29139,29139,56.66,50 - 74,56.66,1.12,Less than 5,1.12
29141,29141,20.29,15 - 29,20.29,26.49,15 - 29,26.49
29143,29143,76.99,75 or more,76.99,0.3,Less than 5,0.3
29145,29145,23.35,15 - 29,23.35,23.45,15 - 29,23.45
29147,29147,52.25,50 - 74,52.25,0.97,Less than 5,0.97
29149,29149,7.1,14-May,7.1,6.1,14-May,6.1
29151,29151,21.22,15 - 29,21.22,18.85,15 - 29,18.85
29153,29153,6.1,14-May,6.1,9.32,14-May,9.32
29155,29155,91.19,75 or more,91.19,(D),Less than 5,
29157,29157,40.2,30 - 49,40.2,1.6,Less than 5,1.6
29159,29159,60.27,50 - 74,60.27,8.64,14-May,8.64
29161,29161,6.33,14-May,6.33,3.47,Less than 5,3.47
29163,29163,52.68,50 - 74,52.68,1.97,Less than 5,1.97
29165,29165,37.43,30 - 49,37.43,1.09,Less than 5,1.09
29167,29167,25.23,15 - 29,25.23,16.72,15 - 29,16.72
29169,29169,5.98,14-May,5.98,4.02,Less than 5,4.02
29171,29171,37.67,30 - 49,37.67,3.01,Less than 5,3.01
29173,29173,65.5,50 - 74,65.5,1.47,Less than 5,1.47
29175,29175,35.31,30 - 49,35.31,1.01,Less than 5,1.01
29177,29177,47.98,30 - 49,47.98,1.1,Less than 5,1.1
29179,29179,3.18,Less than 5,3.18,4.53,Less than 5,4.53
29181,29181,11.2,14-May,11.2,1.45,Less than 5,1.45
29183,29183,33.73,30 - 49,33.73,2.34,Less than 5,2.34
29185,29185,23.16,15 - 29,23.16,4.01,Less than 5,4.01
29186,29186,22.62,15 - 29,22.62,4.13,Less than 5,4.13
29187,29187,11.08,14-May,11.08,4.53,Less than 5,4.53
29189,29189,4.22,Less than 5,4.22,0.14,Less than 5,0.14
29195,29195,75.06,75 or more,75.06,3.17,Less than 5,3.17
29197,29197,42.6,30 - 49,42.6,1.82,Less than 5,1.82
29199,29199,56.69,50 - 74,56.69,6.07,14-May,6.07
29201,29201,71.73,50 - 74,71.73,2.86,Less than 5,2.86
29203,29203,3.57,Less than 5,3.57,6.99,14-May,6.99
29205,29205,65.81,50 - 74,65.81,1.97,Less than 5,1.97
29207,29207,75.23,75 or more,75.23,0.93,Less than 5,0.93
29209,29209,10.82,14-May,10.82,22.01,15 - 29,22.01
29211,29211,38.3,30 - 49,38.3,2.98,Less than 5,2.98
29213,29213,4.64,Less than 5,4.64,10.42,14-May,10.42
29215,29215,9.02,14-May,9.02,10.5,14-May,10.5
29217,29217,46.2,30 - 49,46.2,6.59,14-May,6.59
29219,29219,31.1,30 - 49,31.1,2.25,Less than 5,2.25
29221,29221,5,14-May,5,6.08,14-May,6.08
29223,29223,5.76,14-May,5.76,5.01,14-May,5.01
29225,29225,21.86,15 - 29,21.86,14.32,14-May,14.32
29227,29227,41.01,30 - 49,41.01,0.81,Less than 5,0.81
29229,29229,15.39,15 - 29,15.39,9.82,14-May,9.82
30001,30001,5.04,14-May,5.04,3.77,Less than 5,3.77
30003,30003,8.39,14-May,8.39,0.47,Less than 5,0.47
30005,30005,23.17,15 - 29,23.17,1.42,Less than 5,1.42
30007,30007,19.83,15 - 29,19.83,1.48,Less than 5,1.48
30009,30009,10.42,14-May,10.42,3.49,Less than 5,3.49
30011,30011,10.98,14-May,10.98,0.26,Less than 5,0.26
30013,30013,24.77,15 - 29,24.77,1.64,Less than 5,1.64
30015,30015,49.57,30 - 49,49.57,0.12,Less than 5,0.12
30017,30017,5.75,14-May,5.75,0.76,Less than 5,0.76
30019,30019,58.73,50 - 74,58.73,0.24,Less than 5,0.24
30021,30021,26.31,15 - 29,26.31,1.36,Less than 5,1.36
30023,30023,2.38,Less than 5,2.38,3.79,Less than 5,3.79
30025,30025,16.59,15 - 29,16.59,0.39,Less than 5,0.39
30027,30027,21.33,15 - 29,21.33,0.72,Less than 5,0.72
30029,30029,2.19,Less than 5,2.19,3.55,Less than 5,3.55
30031,30031,13.51,14-May,13.51,3.31,Less than 5,3.31
30033,30033,12.9,14-May,12.9,0.08,Less than 5,0.08
30035,30035,27.41,15 - 29,27.41,1.17,Less than 5,1.17
30037,30037,18,15 - 29,18,(D),Less than 5,
30039,30039,2.48,Less than 5,2.48,7.64,14-May,7.64
30041,30041,63,50 - 74,63,0.86,Less than 5,0.86
30043,30043,4.75,Less than 5,4.75,2.06,Less than 5,2.06
30045,30045,28.68,15 - 29,28.68,1.01,Less than 5,1.01
30047,30047,8.46,14-May,8.46,3.78,Less than 5,3.78
30049,30049,4.17,Less than 5,4.17,3.63,Less than 5,3.63
30051,30051,66.03,50 - 74,66.03,0.88,Less than 5,0.88
30053,30053,0.42,Less than 5,0.42,10.62,14-May,10.62
30055,30055,35.76,30 - 49,35.76,0.12,Less than 5,0.12
30057,30057,6.31,14-May,6.31,4.63,Less than 5,4.63
30059,30059,4.55,Less than 5,4.55,1.55,Less than 5,1.55
30061,30061,0.52,Less than 5,0.52,(D),Less than 5,
30063,30063,1.2,Less than 5,1.2,7.25,14-May,7.25
30065,30065,10.39,14-May,10.39,0.81,Less than 5,0.81
30067,30067,6.13,14-May,6.13,2,Less than 5,2
30069,30069,14.94,14-May,14.94,0.21,Less than 5,0.21
30071,30071,21.34,15 - 29,21.34,0.3,Less than 5,0.3
30073,30073,54.7,50 - 74,54.7,0.91,Less than 5,0.91
30075,30075,8.14,14-May,8.14,0.1,Less than 5,0.1
30077,30077,3.59,Less than 5,3.59,18.57,15 - 29,18.57
30079,30079,10.74,14-May,10.74,0.22,Less than 5,0.22
30081,30081,3.35,Less than 5,3.35,12.46,14-May,12.46
30083,30083,41.72,30 - 49,41.72,3,Less than 5,3
30085,30085,48.37,30 - 49,48.37,0.17,Less than 5,0.17
30087,30087,7.45,14-May,7.45,1.13,Less than 5,1.13
30089,30089,1.95,Less than 5,1.95,5.4,14-May,5.4
30091,30091,64.84,50 - 74,64.84,0.73,Less than 5,0.73
30093,30093,0.95,Less than 5,0.95,13.72,14-May,13.72
30095,30095,16.3,15 - 29,16.3,2.65,Less than 5,2.65
30097,30097,6.63,14-May,6.63,1.69,Less than 5,1.69
30099,30099,37.74,30 - 49,37.74,0.65,Less than 5,0.65
30101,30101,60.95,50 - 74,60.95,0.34,Less than 5,0.34
30103,30103,7.06,14-May,7.06,2.38,Less than 5,2.38
30105,30105,25.01,15 - 29,25.01,0.14,Less than 5,0.14
30107,30107,13.66,14-May,13.66,1.26,Less than 5,1.26
30109,30109,23.85,15 - 29,23.85,0.71,Less than 5,0.71
30111,30111,20.83,15 - 29,20.83,2.07,Less than 5,2.07
31001,31001,78.87,75 or more,78.87,1.82,Less than 5,1.82
31003,31003,62.69,50 - 74,62.69,2.46,Less than 5,2.46
31005,31005,6.4,14-May,6.4,(D),Less than 5,
31007,31007,40.11,30 - 49,40.11,0.22,Less than 5,0.22
31009,31009,7.16,14-May,7.16,3.37,Less than 5,3.37
31011,31011,74.4,50 - 74,74.4,2.72,Less than 5,2.72
31013,31013,49.04,30 - 49,49.04,1.72,Less than 5,1.72
31015,31015,28.37,15 - 29,28.37,2.07,Less than 5,2.07
31017,31017,14,14-May,14,1.28,Less than 5,1.28
31019,31019,55.25,50 - 74,55.25,1.25,Less than 5,1.25
31021,31021,88.51,75 or more,88.51,2.31,Less than 5,2.31
31023,31023,81.91,75 or more,81.91,4.4,Less than 5,4.4
31025,31025,85.29,75 or more,85.29,0.34,Less than 5,0.34
31027,31027,78.46,75 or more,78.46,5.82,14-May,5.82
31029,31029,50.77,50 - 74,50.77,3.8,Less than 5,3.8
31031,31031,9.4,14-May,9.4,0.46,Less than 5,0.46
31033,31033,65.21,50 - 74,65.21,0.64,Less than 5,0.64
31035,31035,70.75,50 - 74,70.75,1.23,Less than 5,1.23
31037,31037,85.38,75 or more,85.38,6.61,14-May,6.61
31039,31039,85.6,75 or more,85.6,10.39,14-May,10.39
31041,31041,29.42,15 - 29,29.42,2.02,Less than 5,2.02
31043,31043,80.39,75 or more,80.39,1.08,Less than 5,1.08
31045,31045,19.33,15 - 29,19.33,2.41,Less than 5,2.41
31047,31047,49.63,30 - 49,49.63,4.04,Less than 5,4.04
31049,31049,76.77,75 or more,76.77,3.25,Less than 5,3.25
31051,31051,74.24,50 - 74,74.24,3.94,Less than 5,3.94
31053,31053,90.13,75 or more,90.13,2.95,Less than 5,2.95
31055,31055,36.27,30 - 49,36.27,1.92,Less than 5,1.92
31057,31057,35.43,30 - 49,35.43,0.6,Less than 5,0.6
31059,31059,80.5,75 or more,80.5,0.94,Less than 5,0.94
31061,31061,45.11,30 - 49,45.11,0.55,Less than 5,0.55
31063,31063,28,15 - 29,28,1.21,Less than 5,1.21
31065,31065,61.42,50 - 74,61.42,1.53,Less than 5,1.53
31067,31067,77.44,75 or more,77.44,2.54,Less than 5,2.54
31069,31069,13.7,14-May,13.7,2.46,Less than 5,2.46
31071,31071,19.38,15 - 29,19.38,2.3,Less than 5,2.3
31073,31073,58.59,50 - 74,58.59,1.96,Less than 5,1.96
31075,31075,8.25,14-May,8.25,0,Less than 5,0
31077,31077,42.33,30 - 49,42.33,1.56,Less than 5,1.56
31079,31079,70.19,50 - 74,70.19,2.45,Less than 5,2.45
31081,31081,78.62,75 or more,78.62,1.5,Less than 5,1.5
31083,31083,59.79,50 - 74,59.79,1.29,Less than 5,1.29
31085,31085,40.78,30 - 49,40.78,1.48,Less than 5,1.48
31087,31087,45.64,30 - 49,45.64,0.82,Less than 5,0.82
31089,31089,38.9,30 - 49,38.9,4.6,Less than 5,4.6
31091,31091,3.39,Less than 5,3.39,0,Less than 5,0
31093,31093,50.08,50 - 74,50.08,2.96,Less than 5,2.96
31095,31095,74.18,50 - 74,74.18,2.23,Less than 5,2.23
31097,31097,55.21,50 - 74,55.21,1.61,Less than 5,1.61
31099,31099,73.48,50 - 74,73.48,2.94,Less than 5,2.94
31101,31101,37.38,30 - 49,37.38,2.28,Less than 5,2.28
31103,31103,19.82,15 - 29,19.82,3.65,Less than 5,3.65
31105,31105,63.17,50 - 74,63.17,0.39,Less than 5,0.39
31107,31107,46.05,30 - 49,46.05,9.33,14-May,9.33
31109,31109,75.11,75 or more,75.11,1.52,Less than 5,1.52
31111,31111,26.34,15 - 29,26.34,3.52,Less than 5,3.52
31113,31113,16.83,15 - 29,16.83,(D),Less than 5,
31115,31115,8.07,14-May,8.07,2.82,Less than 5,2.82
31117,31117,3.67,Less than 5,3.67,(D),Less than 5,
31119,31119,79.38,75 or more,79.38,2.76,Less than 5,2.76
31121,31121,64.5,50 - 74,64.5,1.68,Less than 5,1.68
31123,31123,26.39,15 - 29,26.39,5.46,14-May,5.46
31125,31125,47.29,30 - 49,47.29,1.99,Less than 5,1.99
31127,31127,81.07,75 or more,81.07,1.34,Less than 5,1.34
31129,31129,62.59,50 - 74,62.59,1.26,Less than 5,1.26
31131,31131,81.69,75 or more,81.69,1.24,Less than 5,1.24
31133,31133,65.27,50 - 74,65.27,1.73,Less than 5,1.73
31135,31135,76.44,75 or more,76.44,1.65,Less than 5,1.65
31137,31137,76.71,75 or more,76.71,3.2,Less than 5,3.2
31139,31139,71.02,50 - 74,71.02,2.77,Less than 5,2.77
31141,31141,81.48,75 or more,81.48,6.05,14-May,6.05
31143,31143,75.63,75 or more,75.63,2.3,Less than 5,2.3
31145,31145,52.65,50 - 74,52.65,0.96,Less than 5,0.96
